Ontology ID,label,parent class,definition,definition cross reference,comment,exact synonym,term tracker item,creation date,created by
ID,A rdfs:label,SC %,A IAO:0000115,AI oboInOwl:hasDbXref SPLIT=\|,A rdfs:comment,AL oboInOwl:hasExactSynonym@en SPLIT=\|,A IAO:0000233,A dc:date,A dc:creator SPLIT=\|
ECSO:00010137,sap flux density,ECSO:00001682,"A water flux which measures the rate of sap flow per unit area of active xylem (sapwood) over time.",https://en.wikipedia.org/wiki/Sap_flow,"Commonly expressed in units of volumetric flow rate per unit area (e.g. cm^3 cm^-2 h^-1) or mass flow rate per unit area (e.g. g m^-2 s^-1).",sap flux|sap flow velocity,https://github.com/EDIorg/sem-prov-ontologies/issues/7,2026-09-09T12:00:00Z,http://orcid.org/0000-0003-2261-9931
